epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,12304.2,0.23764,0.24141,0.83829,0.99341,1,0.995,0.96,0.26244,0.18788,0.81124,0.000192705,0.000192705,0.000192705
136,12391.1,0.26659,0.24701,0.87207,0.99337,1,0.995,0.97486,0.26743,0.20018,0.81726,0.000181703,0.000181703,0.000181703
137,12512.8,0.24677,0.21408,0.848,0.99343,1,0.995,0.96879,0.27732,0.20004,0.82071,0.000170701,0.000170701,0.000170701
138,12602.6,0.24458,0.24587,0.86202,0.99344,1,0.995,0.96879,0.26774,0.19117,0.81343,0.000159699,0.000159699,0.000159699
139,12692.2,0.26007,0.2183,0.86656,0.9934,1,0.995,0.96879,0.25957,0.19035,0.80792,0.000148696,0.000148696,0.000148696
140,12800.4,0.25022,0.21023,0.85893,0.99335,1,0.995,0.96879,0.24846,0.18018,0.80771,0.000137694,0.000137694,0.000137694
141,12891.6,0.18664,0.18235,0.76717,0.99332,1,0.995,0.96879,0.22331,0.17556,0.79121,0.000126692,0.000126692,0.000126692
142,12980.1,0.18876,0.1701,0.78869,0.9934,1,0.995,0.96879,0.20632,0.15798,0.78151,0.00011569,0.00011569,0.00011569
143,13066.7,0.20424,0.19007,0.78924,0.99332,1,0.995,0.96879,0.22091,0.16398,0.79277,0.000104688,0.000104688,0.000104688
144,13153.6,0.19722,0.18259,0.78679,0.99329,1,0.995,0.96879,0.22386,0.18023,0.79688,9.36854e-05,9.36854e-05,9.36854e-05
145,13251.4,0.17845,0.18392,0.72605,0.9932,1,0.995,0.96879,0.22998,0.18229,0.79787,8.26832e-05,8.26832e-05,8.26832e-05
146,13366.2,0.18725,0.18087,0.78921,0.99321,1,0.995,0.97086,0.22401,0.17476,0.79273,7.1681e-05,7.1681e-05,7.1681e-05
147,13456.5,0.18001,0.17412,0.82048,0.99325,1,0.995,0.97086,0.21813,0.16013,0.79131,6.06788e-05,6.06788e-05,6.06788e-05
148,13558.7,0.18163,0.17999,0.78193,0.99331,1,0.995,0.97086,0.22042,0.16295,0.79319,4.96766e-05,4.96766e-05,4.96766e-05
149,13647.9,0.19502,0.17815,0.78031,0.9932,1,0.995,0.97086,0.2242,0.16462,0.79899,3.86744e-05,3.86744e-05,3.86744e-05
150,13741.5,0.18424,0.17529,0.83116,0.99328,1,0.995,0.97086,0.22851,0.16176,0.80299,2.76722e-05,2.76722e-05,2.76722e-05
